request_index	started_at_utc	finished_at_utc	site	label	url	status	size_download_bytes	content_type	redirect_url	body_file	headers_file
1	2026-08-29T03:43:53Z	2026-08-29T03:43:53Z	NYC	points	https://api.weather.gov/points/40.78333,-73.96667	301	463	application/problem+json	https://api.weather.gov/points/40.7833,-73.9667	docs/evidence/forecast_endpoint_probe_2026-08-29_payloads/NYC_points.json	docs/evidence/forecast_endpoint_probe_2026-08-29_payloads/NYC_points.headers
2	2026-08-29T03:43:58Z	2026-08-29T03:43:58Z	SFO	points	https://api.weather.gov/points/37.61961,-122.36558	301	463	application/problem+json	https://api.weather.gov/points/37.6196,-122.3656	docs/evidence/forecast_endpoint_probe_2026-08-29_payloads/SFO_points.json	docs/evidence/forecast_endpoint_probe_2026-08-29_payloads/SFO_points.headers
3	2026-08-29T03:44:03Z	2026-08-29T03:44:03Z	MIA	points	https://api.weather.gov/points/25.79056,-80.31639	301	463	application/problem+json	https://api.weather.gov/points/25.7906,-80.3164	docs/evidence/forecast_endpoint_probe_2026-08-29_payloads/MIA_points.json	docs/evidence/forecast_endpoint_probe_2026-08-29_payloads/MIA_points.headers
4	2026-08-29T03:44:08Z	2026-08-29T03:44:08Z	MDW	points	https://api.weather.gov/points/41.78417,-87.75528	301	463	application/problem+json	https://api.weather.gov/points/41.7842,-87.7553	docs/evidence/forecast_endpoint_probe_2026-08-29_payloads/MDW_points.json	docs/evidence/forecast_endpoint_probe_2026-08-29_payloads/MDW_points.headers
5	2026-08-29T03:44:13Z	2026-08-29T03:44:13Z	LAX	points	https://api.weather.gov/points/33.93806,-118.38889	301	463	application/problem+json	https://api.weather.gov/points/33.9381,-118.3889	docs/evidence/forecast_endpoint_probe_2026-08-29_payloads/LAX_points.json	docs/evidence/forecast_endpoint_probe_2026-08-29_payloads/LAX_points.headers
6	2026-08-29T03:45:12Z	2026-08-29T03:45:12Z	NYC	points_canonical	https://api.weather.gov/points/40.7833,-73.9667	200	3053	application/ld+json		docs/evidence/forecast_endpoint_probe_2026-08-29_payloads/NYC_points_canonical.json	docs/evidence/forecast_endpoint_probe_2026-08-29_payloads/NYC_points_canonical.headers
7	2026-08-29T03:45:17Z	2026-08-29T03:45:17Z	NYC	forecast	https://api.weather.gov/gridpoints/OKX/34,45/forecast	200	12422	application/ld+json		docs/evidence/forecast_endpoint_probe_2026-08-29_payloads/NYC_forecast.json	docs/evidence/forecast_endpoint_probe_2026-08-29_payloads/NYC_forecast.headers
8	2026-08-29T03:45:22Z	2026-08-29T03:45:22Z	NYC	forecast_hourly	https://api.weather.gov/gridpoints/OKX/34,45/forecast/hourly	200	147089	application/ld+json		docs/evidence/forecast_endpoint_probe_2026-08-29_payloads/NYC_forecast_hourly.json	docs/evidence/forecast_endpoint_probe_2026-08-29_payloads/NYC_forecast_hourly.headers
9	2026-08-29T03:45:27Z	2026-08-29T03:45:28Z	NYC	raw_gridpoint	https://api.weather.gov/gridpoints/OKX/34,45	200	193354	application/ld+json		docs/evidence/forecast_endpoint_probe_2026-08-29_payloads/NYC_raw_gridpoint.json	docs/evidence/forecast_endpoint_probe_2026-08-29_payloads/NYC_raw_gridpoint.headers
10	2026-08-29T03:45:33Z	2026-08-29T03:45:33Z	DOC	openapi	https://api.weather.gov/openapi.json	200	121410	application/vnd.oai.openapi+json;version=3.1		docs/evidence/forecast_endpoint_probe_2026-08-29_payloads/api_weather_gov_openapi.json	docs/evidence/forecast_endpoint_probe_2026-08-29_payloads/api_weather_gov_openapi.headers
11	2026-08-29T03:45:38Z	2026-08-29T03:45:38Z	NYC	observation_stations	https://api.weather.gov/gridpoints/OKX/34,45/stations	200	42523	application/ld+json		docs/evidence/forecast_endpoint_probe_2026-08-29_payloads/NYC_observation_stations.json	docs/evidence/forecast_endpoint_probe_2026-08-29_payloads/NYC_observation_stations.headers
12	2026-08-29T03:48:17Z	2026-08-29T03:48:17Z	NYC	forecast_cadence_2	https://api.weather.gov/gridpoints/OKX/34,45/forecast	200	12422	application/ld+json		docs/evidence/forecast_endpoint_probe_2026-08-29_payloads/NYC_forecast_cadence_2.json	docs/evidence/forecast_endpoint_probe_2026-08-29_payloads/NYC_forecast_cadence_2.headers
13	2026-08-29T03:51:17Z	2026-08-29T03:51:17Z	NYC	forecast_cadence_3	https://api.weather.gov/gridpoints/OKX/34,45/forecast	200	12422	application/ld+json		docs/evidence/forecast_endpoint_probe_2026-08-29_payloads/NYC_forecast_cadence_3.json	docs/evidence/forecast_endpoint_probe_2026-08-29_payloads/NYC_forecast_cadence_3.headers
