ordinal	requested_at_utc	label	url	status	bytes	content_type	outcome	sha256
1	2026-08-31T01:11:36+00:00	matrix_2022-01-01_best_match	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2022-01-07&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&models=best_match&start_date=2022-01-01&timezone=UTC	200	5058	application/json; charset=utf-8	ok	4787e4e567ca1222d7cf0dc842054d3615c386f4d2cd53d7089e6f6844ab6d2f
2	2026-08-31T01:11:38+00:00	matrix_2022-01-01_ecmwf_ifs025	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2022-01-07&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&models=ecmwf_ifs025&start_date=2022-01-01&timezone=UTC	200	5202	application/json; charset=utf-8	ok	9b72bb3d17b4fd7d0fa9819b3f0d89ce09e2ffa7c670ea6490f6c4ae4e1942de
3	2026-08-31T01:11:40+00:00	matrix_2022-01-01_gfs_seamless	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2022-01-07&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&models=gfs_seamless&start_date=2022-01-01&timezone=UTC	200	5059	application/json; charset=utf-8	ok	2782b1e77fea18a83d583f02da3516f9e4b944c55d48b8e19d25b8b93eb07e65
4	2026-08-31T01:11:41+00:00	matrix_2022-01-01_icon_seamless	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2022-01-07&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&models=icon_seamless&start_date=2022-01-01&timezone=UTC	200	5201	application/json; charset=utf-8	ok	5aa716bd42c7b8ec1ec3a310071431a7cb2e2210d2882715d3a11c141177de5f
5	2026-08-31T01:11:43+00:00	matrix_2024-01-01_best_match	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2024-01-07&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&models=best_match&start_date=2024-01-01&timezone=UTC	200	5082	application/json; charset=utf-8	ok	135c5559e4e3c8adfdeeb86f6f9bdd74cc8e5b2b19bd9626dbd75fb84dc4e1fb
6	2026-08-31T01:11:44+00:00	matrix_2024-01-01_ecmwf_ifs025	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2024-01-07&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&models=ecmwf_ifs025&start_date=2024-01-01&timezone=UTC	200	5201	application/json; charset=utf-8	ok	1113bda6af123d27744a67375b6a4a73d8195a508fcf46ea034f0acb7dcbda99
7	2026-08-31T01:11:46+00:00	matrix_2024-01-01_gfs_seamless	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2024-01-07&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&models=gfs_seamless&start_date=2024-01-01&timezone=UTC	200	5083	application/json; charset=utf-8	ok	e9d73a1413a0a2c591c0212ce7d4857359d77d501062109b3a5b842b46660171
8	2026-08-31T01:11:47+00:00	matrix_2024-01-01_icon_seamless	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2024-01-07&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&models=icon_seamless&start_date=2024-01-01&timezone=UTC	200	5064	application/json; charset=utf-8	ok	fdb55707fa024298923ab07d52f20a4139f69510c9abaede720cf3f32f01771a
9	2026-08-31T01:11:49+00:00	bisect_2023-01-01_best_match	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2023-01-07&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&models=best_match&start_date=2023-01-01&timezone=UTC	200	4996	application/json; charset=utf-8	ok	8dd11cc03a6d24d30ec0f224fecc519c375d7a9d59045b5e330c8823548ee990
10	2026-08-31T01:11:50+00:00	bisect_2023-07-02_best_match	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2023-07-08&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&models=best_match&start_date=2023-07-02&timezone=UTC	200	5206	application/json; charset=utf-8	ok	627310f2c344887118f17009a694c587c111c5b6e9ed22e223ab9e5a5281a647
11	2026-08-31T01:11:52+00:00	bisect_2023-10-01_best_match	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2023-10-07&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&models=best_match&start_date=2023-10-01&timezone=UTC	200	5205	application/json; charset=utf-8	ok	74083e2fe4bc57576f3e5f0ecf10a626df7c3e69341a72a12d85bb1b2c6a6054
12	2026-08-31T01:11:54+00:00	bisect_2023-11-16_best_match	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2023-11-22&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&models=best_match&start_date=2023-11-16&timezone=UTC	200	5018	application/json; charset=utf-8	ok	1359b6fd096dca255554600a92c7799b281df8540ba362d629af4c8e95aac700
13	2026-08-31T01:11:55+00:00	bisect_2023-12-09_best_match	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2023-12-15&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&models=best_match&start_date=2023-12-09&timezone=UTC	200	4934	application/json; charset=utf-8	ok	a97ed2f5bb5258e11797444244781d9b3034504cdf39d0197a77dc0623bcd5e3
14	2026-08-31T01:11:57+00:00	contiguity_2022-06-26_best_match	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2022-07-02&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&models=best_match&start_date=2022-06-26&timezone=UTC	200	5206	application/json; charset=utf-8	ok	353f900773d3f98d8cee665be374cbf113f092954130b5c48ea1669ed381b84d
15	2026-08-31T01:11:58+00:00	contiguity_2022-12-19_best_match	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2022-12-25&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&models=best_match&start_date=2022-12-19&timezone=UTC	200	5122	application/json; charset=utf-8	ok	b07c19551bc9c12d6c85762132d48c453196fd9e482de014f5898af5dbb5e08d
16	2026-08-31T01:12:00+00:00	contiguity_2023-06-13_best_match	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2023-06-19&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&models=best_match&start_date=2023-06-13&timezone=UTC	200	5206	application/json; charset=utf-8	ok	d3468e6a623bd6517462e18b7d7e19f3a876cdf93991f25ed8693e6e00be29f8
