ordinal	requested_at_utc	label	url	status	bytes	content_type	outcome	sha256
1	2026-08-31T00:54:22+00:00	discovery_regular_forecast_endpoint_daily	https://api.open-meteo.com/v1/forecast?daily=temperature_2m_max%2Ctemperature_2m_max_previous_day1&forecast_days=3&latitude=40.78333&longitude=-73.96667&timezone=UTC	400	171	application/json; charset=utf-8	http_400	2bf136dd71a8dc5503898b68a5f5978cd08c771cd61abd9b524963a8da3c6c23
2	2026-08-31T00:54:24+00:00	discovery_regular_forecast_endpoint_hourly	https://api.open-meteo.com/v1/forecast?forecast_days=3&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&timezone=UTC	200	2423	application/json; charset=utf-8	ok	a48287e634f62b56ca25af592e0e36f0779b00504efa6191d7e58cdb2b927b85
3	2026-08-31T00:54:25+00:00	discovery_dedicated_previous_runs_host_daily	https://previous-runs-api.open-meteo.com/v1/forecast?daily=temperature_2m_max%2Ctemperature_2m_max_previous_day1&forecast_days=3&latitude=40.78333&longitude=-73.96667&timezone=UTC	400	171	application/json; charset=utf-8	http_400	2bf136dd71a8dc5503898b68a5f5978cd08c771cd61abd9b524963a8da3c6c23
4	2026-08-31T00:54:27+00:00	discovery_dedicated_previous_runs_host_hourly	https://previous-runs-api.open-meteo.com/v1/forecast?forecast_days=3&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&timezone=UTC	200	2423	application/json; charset=utf-8	ok	93c779b362af76de9e40a5002c4043f52978b4f04a6d0309d3688d202eea18d5
5	2026-08-31T00:54:27+00:00	q2_previous_day_ladder	https://previous-runs-api.open-meteo.com/v1/forecast?hourly=temperature_2m%2Ctemperature_2m_previous_day1%2Ctemperature_2m_previous_day2%2Ctemperature_2m_previous_day3%2Ctemperature_2m_previous_day4%2Ctemperature_2m_previous_day5%2Ctemperature_2m_previous_day6%2Ctemperature_2m_previous_day7&latitude=40.78333&longitude=-73.96667&timezone=UTC	200	10665	application/json; charset=utf-8	ok	4f2a96f5780332b8c681d63c5c33972aefb3104ee05d94185845cd3a5f4866fa
6	2026-08-31T00:54:29+00:00	q2_previous_day_boundary_probe	https://previous-runs-api.open-meteo.com/v1/forecast?hourly=temperature_2m_previous_day8&latitude=40.78333&longitude=-73.96667&timezone=UTC	200	4324	application/json; charset=utf-8	ok	f55031382e30c1c53a52df5440e37d0767ed3cfd4fb7b2378a8d94abd8b7e68a
7	2026-08-31T00:54:30+00:00	q2_other_surface_variable_naming	https://previous-runs-api.open-meteo.com/v1/forecast?daily=temperature_2m_max%2Ctemperature_2m_max_previous_day1&forecast_days=2&latitude=40.78333&longitude=-73.96667&timezone=UTC	400	171	application/json; charset=utf-8	http_400	dbf944daf41039e647ce4cd62524c27d8fb888011e9281894ee5b843f696c0fe
8	2026-08-31T00:54:32+00:00	q3_archive_depth_2024	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2024-01-07&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&start_date=2024-01-01&timezone=UTC	200	5081	application/json; charset=utf-8	ok	7050bfb637346f5ffad965837e75b3b7aeed147ef912d7eeffe53f27dc6dffd0
9	2026-08-31T00:54:33+00:00	q3_archive_depth_2022	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2022-01-07&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&start_date=2022-01-01&timezone=UTC	200	5057	application/json; charset=utf-8	ok	62715713aa9c5a2cb63ac1742a490acf6f97c5af74f7f174c963c44980ff2009
10	2026-08-31T00:54:35+00:00	q3_archive_depth_2019	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2019-01-07&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&start_date=2019-01-01&timezone=UTC	200	5079	application/json; charset=utf-8	ok	b3c1103ccf9c2fc9d496a50d2c4dc87d9bfaba06e537c17a4bdf24ee43f6bc05
11	2026-08-31T00:54:37+00:00	q4_anchor_daily_window	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2026-08-29&hourly=temperature_2m%2Ctemperature_2m_previous_day1%2Ctemperature_2m_previous_day2%2Ctemperature_2m_previous_day3%2Ctemperature_2m_previous_day4%2Ctemperature_2m_previous_day5&latitude=40.78333&longitude=-73.96667&start_date=2026-08-23&timezone=UTC	200	8847	application/json; charset=utf-8	ok	fd60f3769625898c1dcbd9d5f467993d06451af578445c0ca1c5c690728ad712
12	2026-08-31T00:54:38+00:00	q4_anchor_single_day_control	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2026-08-29&hourly=temperature_2m%2Ctemperature_2m_previous_day1%2Ctemperature_2m_previous_day2%2Ctemperature_2m_previous_day3%2Ctemperature_2m_previous_day4%2Ctemperature_2m_previous_day5&latitude=40.78333&longitude=-73.96667&start_date=2026-08-29&timezone=UTC	200	1791	application/json; charset=utf-8	ok	babddd70b1035f6219fe8cae29731d70ed2d3f1777ec6e1ee58a80f92402fe34
13	2026-08-31T00:54:40+00:00	q4_anchor_second_site	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2026-08-29&hourly=temperature_2m%2Ctemperature_2m_previous_day1%2Ctemperature_2m_previous_day2%2Ctemperature_2m_previous_day3%2Ctemperature_2m_previous_day4%2Ctemperature_2m_previous_day5&latitude=37.61961&longitude=-122.36558&start_date=2026-08-23&timezone=UTC	200	8847	application/json; charset=utf-8	ok	d5cc63f2ca4eb3d331ad1f8afc8f82b99f34f636a1925985df27f95062c263c0
14	2026-08-31T00:54:41+00:00	q5_publication_lag_today	https://previous-runs-api.open-meteo.com/v1/forecast?forecast_days=2&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&past_days=1&timezone=UTC	200	2422	application/json; charset=utf-8	ok	5376ebc6e433333a5ed855f061d0c1cbbff09dc918745b22ce450d696a1b9ed9
15	2026-08-31T00:54:43+00:00	q5_publication_lag_yesterday	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2026-08-31&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&start_date=2026-08-30&timezone=UTC	200	1727	application/json; charset=utf-8	ok	8bcb0f885956934cea9f5a18e94193e057124fe43590534ed40f2278dc657ae1
16	2026-08-31T00:54:44+00:00	q6_restatement_key_capture	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2026-08-29&hourly=temperature_2m%2Ctemperature_2m_previous_day1%2Ctemperature_2m_previous_day2%2Ctemperature_2m_previous_day3&latitude=40.78333&longitude=-73.96667&models=best_match&start_date=2026-08-23&timezone=UTC	200	7027	application/json; charset=utf-8	ok	4373419a41d897ce1d2943eb49dc7d58298685ae69d1ae831c32e5b6f2d7a2d6
17	2026-08-31T00:54:46+00:00	q6_restatement_key_capture_older	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2025-01-12&hourly=temperature_2m%2Ctemperature_2m_previous_day1%2Ctemperature_2m_previous_day2%2Ctemperature_2m_previous_day3&latitude=40.78333&longitude=-73.96667&models=best_match&start_date=2025-01-06&timezone=UTC	200	6927	application/json; charset=utf-8	ok	59896c92eeea166110da684eb52aa54b3b4701b25d6ed9fa700e368260909702
18	2026-08-31T00:54:47+00:00	q7_model_best_match	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2026-08-29&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&models=best_match&start_date=2026-08-29&timezone=UTC	200	1031	application/json; charset=utf-8	ok	15d6252b2c5f0ca9b0b50030f5a35a609c8ddff63878dfbc7c43503ca2e31013
19	2026-08-31T00:54:49+00:00	q7_model_ecmwf_ifs025	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2026-08-29&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&models=ecmwf_ifs025&start_date=2026-08-29&timezone=UTC	200	1024	application/json; charset=utf-8	ok	4fcca969df392022142fe0c4ee1d22abe99a3f9ee18964cccd091a9d76a59f70
20	2026-08-31T00:54:51+00:00	q7_model_gfs_seamless	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2026-08-29&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&models=gfs_seamless&start_date=2026-08-29&timezone=UTC	200	1031	application/json; charset=utf-8	ok	8987ee68b1bcdc62351e09d23ec5c0545c8462b30baa454f533b4226852b8702
21	2026-08-31T00:54:52+00:00	q7_model_icon_seamless	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2026-08-29&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&models=icon_seamless&start_date=2026-08-29&timezone=UTC	200	1024	application/json; charset=utf-8	ok	72bf3504fc294dfd872e33c71a7fd64216a9b5c1b18b3bba4adc6dfaf368b917
22	2026-08-31T00:54:54+00:00	q7_model_meteofrance_seamless	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2026-08-29&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&models=meteofrance_seamless&start_date=2026-08-29&timezone=UTC	200	1023	application/json; charset=utf-8	ok	f4f569499cf9fd34da0fe2fdf68e7c445cececbc5b2941c8a86dabb11024dc1b
23	2026-08-31T00:54:55+00:00	q8_licence_and_terms_capture	https://previous-runs-api.open-meteo.com/v1/forecast?forecast_days=1&hourly=temperature_2m%2Ctemperature_2m_previous_day1&latitude=40.78333&longitude=-73.96667&timezone=UTC	200	1031	application/json; charset=utf-8	ok	4fd6a61ebacb3c2509165126ab60f5f53cc92d492bc0cc10cc42ee2285df9a52
24	2026-08-31T00:54:57+00:00	q9_largest_plausible_payload	https://previous-runs-api.open-meteo.com/v1/forecast?end_date=2026-08-29&hourly=temperature_2m%2Ctemperature_2m_previous_day1%2Ctemperature_2m_previous_day2%2Ctemperature_2m_previous_day3&latitude=40.78333&longitude=-73.96667&start_date=2026-08-23&timezone=UTC	200	7027	application/json; charset=utf-8	ok	517330a7162f05d312104d1d870f06f672dc4c159526c1ab8052ecbd471cd879
